Powiaty;Y;X1;X2;X3;X4
Powiat bolesàawiecki;582;194328;20;4545,34;492
Powiat dzieræoniowski;458;107759;22;4484,28;123
Powiat gàogowski;535;194528;35;4427,98;243
Powiat g¢rowski;196;103339;8;3978,78;62
Powiat jaworski;225;164404;8;4408;101
Powiat karkonoski;750;243865;11;4353,43;285
Powiat kamiennog¢rski;171;98639;7;4319,48;41
Powiat kàodzki;700;132801;42;4386,83;295
Powiat legnicki;716;128845;3;4652,61;192
Powiat luba‰ski;316;143072;13;4173,43;99
Powiat lubi‰ski;846;201217;29;8274,57;473
Powiat lw¢wecki;400;90658;18;4284,69;49
Powiat milicki;204;156308;11;3996,41;106
Powiat oleònicki;803;198838;23;4457,79;606
Powiat oàawski;590;221407;13;4804,75;534
Powiat polkowicki;627;177565;9;5338,08;401
Powiat strzeli‰ski;298;162163;11;4774;150
Powiat òredzki;1214;227780;8;5069,72;502
Powiat òwidnicki;766;175176;38;4741,36;468
Powiat trzebnicki;990;229879;16;4237,62;574
Powiat waàbrzyski;657;100790;4;4065,01;50
Powiat woàowski;348;146402;13;5473,27;185
Powiat wrocàawski;5759;295974;9;5324,29;3281
Powiat z•bkowicki;268;104737;11;4178,5;84
Powiat zgorzelecki;361;154708;18;4521,09;160
Powiat zàotoryjski;217;115602;9;4731,02;59
Powiat m.Jelenia G¢ra;916;189748;27;4848,79;308
Powiat m.Legnica;845;203300;33;4719,65;573
Powiat m.Wrocàaw;9249;344150;170;5757,54;11400
Powiat m.Waàbrzych od 2013;664;113482;31;5189,24;170
Powiat aleksandrowski;436;169273;13;3918,09;139
Powiat brodnicki;467;174679;15;4027,09;485
Powiat bydgoski;2526;207283;14;4449,27;942
Powiat cheàmi‰ski;286;137253;12;4117,98;126
Powiat golubsko-dobrzy‰ski;226;139503;13;4521,71;128
Powiat grudzi•dzki;516;89310;5;4294,97;139
Powiat inowrocàawski;695;179174;42;4141,32;332
Powiat lipnowski;371;116019;13;3761,3;209
Powiat mogile‰ski;247;156442;21;4107,94;129
Powiat nakielski;434;150169;33;4102,99;223
Powiat radziejowski;190;114123;10;3906,53;62
Powiat rypi‰ski;191;167304;11;3979,24;125
Powiat s©pole‰ski;215;120225;11;3977,99;132
Powiat òwiecki;538;167133;29;4580,35;255
Powiat toru‰ski;2125;159906;14;4027,12;752
Powiat tucholski;260;136510;12;3919,91;165
Powiat w•brzeski;162;125651;7;4334,78;49
Powiat wàocàawski;737;97133;20;4107,48;231
Powiat æni‰ski;433;134110;21;3896,63;312
Powiat m.Bydgoszcz;2839;254453;130;4957,38;1340
Powiat m.Grudzi•dz;736;173937;43;3976,49;244
Powiat m.Toru‰;2084;272780;75;4980,31;1410
Powiat m.Wàocàawek;711;162552;52;4505,6;161
Powiat bialski;684;152535;13;3991,12;406
Powiat biàgorajski;364;188286;23;4176,81;319
Powiat cheàmski;730;112086;6;3921,71;215
Powiat hrubieszowski;213;115282;12;4205,48;55
Powiat janowski;152;215560;15;4225,92;88
Powiat krasnostawski;266;144961;17;4096,88;86
Powiat kraònicki;364;132821;24;3961,16;138
Powiat lubartowski;472;193513;12;4003,85;242
Powiat lubelski;2443;273167;23;3943,73;939
Powiat à©czy‰ski;373;222233;16;6177,04;223
Powiat àukowski;352;191105;26;3846,62;307
Powiat opolski;252;134114;12;3927,8;115
Powiat parczewski;165;168658;8;4092,69;44
Powiat puàawski;564;208885;39;4902,81;317
Powiat radzy‰ski;244;160781;15;4064,52;99
Powiat rycki;305;141429;22;4014,66;87
Powiat òwidnicki;690;222760;16;4861,68;211
Powiat tomaszowski;268;149706;13;3906,06;92
Powiat wàodawski;242;116338;9;3924,59;104
Powiat zamojski;812;158800;8;3671,45;218
Powiat m.Biaàa Podlaska;559;173112;30;4165,17;274
Powiat m.Cheàm;498;176004;32;4182,86;144
Powiat m.Lublin;3864;301541;120;5054,93;2328
